X,Y,full_id,osm_id,osm_type,shop,start_date,ref,historic:name,historic:alt_name,historic,check_date:opening_hours,building:levels,payment:visa,payment:mastercard,check_date,building_2,building_1,short_name,comments,alt_name,addr:housename,official_name,wheelchair,cuisine,contact:website,branch,organic,operator,contact:phone,website,phone,parking,opening_hours,name,designation,building,brand:wikidata,brand,addr:street,addr:state,addr:postcode,addr:housenumber,addr:city,outdoor_seating,indoor_seating,diet:halal,amenity,entrance,level,layer,path
569638.274613638,4186749.50028809,w22916723,"22916723",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,https://local.safeway.com/safeway/ca/oakland/2096-mountain-blvd.html,+1 510-482-2266,rooftop,"06:00-24:00",Safeway,Safeway 0654,yes,Q1508234,Safeway,Mountain Boulevard,CA,"94611","2096",Oakland,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
569419.273339849,4186971.90193602,w94405302,"94405302",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucky,,yes,Q6698032,Lucky,Moraga Avenue,,,"6344",,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
569020.054407303,4183865.83354945,w105058438,"105058438",way,supermarket,,,,,,,,,,,,,,,,,,,,,,yes,Joe,+1-510-482-8899,http://farmerjoesmarketplace.com/,,,"08:30-20:30",Farmer Joe's,,retail,,,Fruitvale Avenue,CA,,"3426",Oakland,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
570027.738761497,4183571.34275456,w109107328,"109107328",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Food Mill,,yes,,,MacArthur Boulevard,,,"3033",,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
567778.672265983,4181199.33845508,w116807337,"116807337",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,+1-510-437-8000,,,FoodMaxx,,retail,Q61894844,FoodMaxx,East 9th Street,,"94601","3100",Oakland,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
569077.415960573,4184054.05168133,w118422328,"118422328",way,supermarket,,,,,,,,,,,,,,,,,,,,,"0908",,,,https://local.safeway.com/safeway/ca/oakland/3550-fruitvale-ave.html,+1 510-530-7067,,"06:00-24:00",Safeway,Safeway 0908,yes,Q1508234,Safeway,Fruitvale Avenue,CA,"94602","3550",Oakland,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
564443.641762834,4185382.00507265,w124842857,"124842857",way,supermarket,,,,,,,,,,,,,,,,,,yes,korean,http://www.koreanaplaza.com/,,,,+1-510-986-1234,,,,"07:00-22:00",Koreana Plaza,,retail,,,,,,"2370",,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
565007.05741872,4185826.18687345,w125697186,"125697186",way,supermarket,,,,,,,,,,,,,,,,,Grocery Outlet Bargain Market,yes,,groceryoutlet.com,,,,,,,,"07:00-22:00",Grocery Outlet,,yes,Q5609934,Grocery Outlet,Broadway,,,"2910",,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
565759.356127701,4186723.39563277,w221073981,"221073981",way,supermarket,,,,,,,,,,,,,,,,Piedmont Grocery,,,,,,,,,https://piedmontgrocery.com/,,,,Piedmont Grocery,,yes,,,Piedmont Avenue,,"94611","4038",Oakland,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
565733.8681982,4183814.16607155,w232290752,"232290752",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lucky,,yes,Q6698032,Lucky,East 18th Street,,,"237;247;265",,,,,,,,oak,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=start_date:string(0,0)&field=ref:string(0,0)&field=historic%3Aname:string(0,0)&field=historic%3Aalt_name:string(0,0)&field=historic:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=building%3Alevels:string(0,0)&field=payment%3Avisa:string(0,0)&field=payment%3Amastercard:string(0,0)&field=check_date:string(0,0)&field=building_2:string(0,0)&field=building_1:string(0,0)&field=short_name:string(0,0)&field=comments:string(0,0)&field=alt_name:string(0,0)&field=addr%3Ahousename:string(0,0)&field=official_name:string(0,0)&field=wheelchair:string(0,0)&field=cuisine:string(0,0)&field=contact%3Awebsite:string(0,0)&field=branch:string(0,0)&field=organic:string(0,0)&field=operator:string(0,0)&field=contact%3Aphone:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=parking:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=designation:string(0,0)&field=building:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={9b6a210f-02c6-4379-8d5b-9a40f04860dc}"
