"GEOID","NAME","group_0_17","group_18_34","group_35_49","group_50_up"
"06001400100","Census Tract 4001; Alameda County; California",585,282,461,1804
"06001400100","Census Tract 4001; Alameda County; California",585,282,461,1804
"06001400200","Census Tract 4002; Alameda County; California",389,450,476,888
"06001400200","Census Tract 4002; Alameda County; California",389,450,476,888
"06001400300","Census Tract 4003; Alameda County; California",879,1393,1258,2460
"06001400400","Census Tract 4004; Alameda County; California",992,811,1279,1317
"06001400400","Census Tract 4004; Alameda County; California",992,811,1279,1317
"06001400500","Census Tract 4005; Alameda County; California",563,1089,986,941
"06001400500","Census Tract 4005; Alameda County; California",563,1089,986,941
"06001400600","Census Tract 4006; Alameda County; California",357,379,621,695
"06001400700","Census Tract 4007; Alameda County; California",724,1261,1297,1294
"06001400700","Census Tract 4007; Alameda County; California",724,1261,1297,1294
"06001400800","Census Tract 4008; Alameda County; California",593,1579,772,1604
"06001400800","Census Tract 4008; Alameda County; California",593,1579,772,1604
"06001400900","Census Tract 4009; Alameda County; California",656,711,858,630
"06001401000","Census Tract 4010; Alameda County; California",1289,2090,1332,1650
"06001401100","Census Tract 4011; Alameda County; California",783,2244,1456,1239
"06001401200","Census Tract 4012; Alameda County; California",322,975,1115,661
"06001401300","Census Tract 4013; Alameda County; California",399,1990,1115,1274
"06001401400","Census Tract 4014; Alameda County; California",468,1809,838,1099
"06001401500","Census Tract 4015; Alameda County; California",325,839,639,936
"06001401600","Census Tract 4016; Alameda County; California",537,866,663,602
"06001401700","Census Tract 4017; Alameda County; California",510,974,1468,674
"06001401800","Census Tract 4018; Alameda County; California",340,574,504,374
"06001402200","Census Tract 4022; Alameda County; California",366,1114,591,704
"06001402400","Census Tract 4024; Alameda County; California",477,665,531,993
"06001402500","Census Tract 4025; Alameda County; California",413,687,245,598
"06001402600","Census Tract 4026; Alameda County; California",131,247,272,542
"06001402700","Census Tract 4027; Alameda County; California",135,542,425,535
"06001402801","Census Tract 4028.01; Alameda County; California",361,997,564,969
"06001402802","Census Tract 4028.02; Alameda County; California",67,348,292,895
"06001402900","Census Tract 4029; Alameda County; California",151,897,666,717
"06001403000","Census Tract 4030; Alameda County; California",99,1289,580,1419
"06001403100","Census Tract 4031; Alameda County; California",67,1117,376,691
"06001403301","Census Tract 4033.01; Alameda County; California",275,419,241,965
"06001403302","Census Tract 4033.02; Alameda County; California",85,1664,607,463
"06001403401","Census Tract 4034.01; Alameda County; California",84,673,658,1309
"06001403402","Census Tract 4034.02; Alameda County; California",18,404,272,304
"06001403501","Census Tract 4035.01; Alameda County; California",582,2049,1593,1839
"06001403502","Census Tract 4035.02; Alameda County; California",156,810,520,566
"06001403600","Census Tract 4036; Alameda County; California",595,1302,1519,1423
"06001403701","Census Tract 4037.01; Alameda County; California",265,806,525,1006
"06001403702","Census Tract 4037.02; Alameda County; California",191,874,584,549
"06001403800","Census Tract 4038; Alameda County; California",699,695,1457,1205
"06001403900","Census Tract 4039; Alameda County; California",383,1129,997,1258
"06001404000","Census Tract 4040; Alameda County; California",304,865,757,921
"06001404101","Census Tract 4041.01; Alameda County; California",367,801,891,1208
"06001404102","Census Tract 4041.02; Alameda County; California",265,486,643,1152
"06001404200","Census Tract 4042; Alameda County; California",810,586,640,1625
"06001404300","Census Tract 4043; Alameda County; California",765,445,656,1734
"06001404300","Census Tract 4043; Alameda County; California",765,445,656,1734
"06001404400","Census Tract 4044; Alameda County; California",1075,672,1526,2294
"06001404501","Census Tract 4045.01; Alameda County; California",330,195,300,969
"06001404502","Census Tract 4045.02; Alameda County; California",1267,678,1445,2896
"06001404600","Census Tract 4046; Alameda County; California",853,371,1235,2238
"06001404700","Census Tract 4047; Alameda County; California",439,168,465,1139
"06001404800","Census Tract 4048; Alameda County; California",597,399,624,1135
"06001404900","Census Tract 4049; Alameda County; California",938,911,1111,1969
"06001405000","Census Tract 4050; Alameda County; California",759,489,904,1414
"06001405100","Census Tract 4051; Alameda County; California",1068,511,1139,1758
"06001405200","Census Tract 4052; Alameda County; California",787,1370,1472,1625
"06001405301","Census Tract 4053.01; Alameda County; California",286,1206,860,627
"06001405302","Census Tract 4053.02; Alameda County; California",119,1042,382,958
"06001405401","Census Tract 4054.01; Alameda County; California",419,1105,1035,1237
"06001405402","Census Tract 4054.02; Alameda County; California",538,865,667,1142
"06001405500","Census Tract 4055; Alameda County; California",364,1025,989,1296
"06001405600","Census Tract 4056; Alameda County; California",363,986,1015,913
"06001405700","Census Tract 4057; Alameda County; California",904,1035,695,1293
"06001405800","Census Tract 4058; Alameda County; California",946,1250,1185,1209
"06001405901","Census Tract 4059.01; Alameda County; California",1169,1053,751,1141
"06001405902","Census Tract 4059.02; Alameda County; California",618,892,623,836
"06001406000","Census Tract 4060; Alameda County; California",750,1238,1069,2100
"06001406100","Census Tract 4061; Alameda County; California",1126,1709,1126,1849
"06001406201","Census Tract 4062.01; Alameda County; California",1265,1781,986,1312
"06001406202","Census Tract 4062.02; Alameda County; California",1258,1352,1067,1580
"06001406300","Census Tract 4063; Alameda County; California",1115,775,1144,1344
"06001406400","Census Tract 4064; Alameda County; California",525,256,419,1170
"06001406500","Census Tract 4065; Alameda County; California",1236,1417,1161,2232
"06001406601","Census Tract 4066.01; Alameda County; California",638,1144,1056,1588
"06001406602","Census Tract 4066.02; Alameda County; California",721,597,770,749
"06001406700","Census Tract 4067; Alameda County; California",1035,1206,1388,2149
"06001406800","Census Tract 4068; Alameda County; California",825,780,748,1394
"06001406900","Census Tract 4069; Alameda County; California",767,754,924,1697
"06001407000","Census Tract 4070; Alameda County; California",1443,1553,1444,1850
"06001407101","Census Tract 4071.01; Alameda County; California",754,836,979,976
"06001407102","Census Tract 4071.02; Alameda County; California",756,1135,724,1381
"06001407200","Census Tract 4072; Alameda County; California",1696,1591,1745,1640
"06001407300","Census Tract 4073; Alameda County; California",513,729,707,564
"06001407400","Census Tract 4074; Alameda County; California",896,882,1118,1415
"06001407500","Census Tract 4075; Alameda County; California",1108,869,495,986
"06001407600","Census Tract 4076; Alameda County; California",1679,1994,1685,1413
"06001407700","Census Tract 4077; Alameda County; California",964,539,1223,1545
"06001407800","Census Tract 4078; Alameda County; California",509,795,545,674
"06001407900","Census Tract 4079; Alameda County; California",643,652,682,1070
"06001408000","Census Tract 4080; Alameda County; California",309,728,443,1278
"06001408100","Census Tract 4081; Alameda County; California",1550,1376,1860,2959
"06001408200","Census Tract 4082; Alameda County; California",1045,859,1106,1494
"06001408300","Census Tract 4083; Alameda County; California",794,1069,1281,1561
"06001408400","Census Tract 4084; Alameda County; California",946,1041,993,985
"06001408500","Census Tract 4085; Alameda County; California",1335,1373,920,1635
"06001408600","Census Tract 4086; Alameda County; California",1472,1401,1181,1871
"06001408700","Census Tract 4087; Alameda County; California",1680,1692,1438,2470
"06001408800","Census Tract 4088; Alameda County; California",2233,2041,1299,1888
"06001408900","Census Tract 4089; Alameda County; California",870,1049,886,1153
"06001409000","Census Tract 4090; Alameda County; California",1166,974,805,1259
"06001409100","Census Tract 4091; Alameda County; California",566,649,507,733
"06001409200","Census Tract 4092; Alameda County; California",982,1002,802,999
"06001409300","Census Tract 4093; Alameda County; California",1704,1435,1356,1337
"06001409400","Census Tract 4094; Alameda County; California",1381,1185,1352,1065
"06001409500","Census Tract 4095; Alameda County; California",1190,1392,1070,896
"06001409600","Census Tract 4096; Alameda County; California",1406,1683,755,1598
