"GEOID","NAME","below_high_school","high_school_grad","some_college_assoc","bachelors_plus"
"06001400100","Census Tract 4001; Alameda County; California",0,40,382,2066
"06001400100","Census Tract 4001; Alameda County; California",0,40,382,2066
"06001400200","Census Tract 4002; Alameda County; California",72,93,159,1426
"06001400200","Census Tract 4002; Alameda County; California",72,93,159,1426
"06001400300","Census Tract 4003; Alameda County; California",95,257,489,3948
"06001400400","Census Tract 4004; Alameda County; California",50,165,328,2771
"06001400400","Census Tract 4004; Alameda County; California",50,165,328,2771
"06001400500","Census Tract 4005; Alameda County; California",80,98,576,1999
"06001400500","Census Tract 4005; Alameda County; California",80,98,576,1999
"06001400600","Census Tract 4006; Alameda County; California",71,149,355,1017
"06001400700","Census Tract 4007; Alameda County; California",68,256,764,2618
"06001400700","Census Tract 4007; Alameda County; California",68,256,764,2618
"06001400800","Census Tract 4008; Alameda County; California",196,326,717,2496
"06001400800","Census Tract 4008; Alameda County; California",196,326,717,2496
"06001400900","Census Tract 4009; Alameda County; California",16,356,570,1079
"06001401000","Census Tract 4010; Alameda County; California",415,582,1039,2763
"06001401100","Census Tract 4011; Alameda County; California",423,347,920,2747
"06001401200","Census Tract 4012; Alameda County; California",27,145,353,2102
"06001401300","Census Tract 4013; Alameda County; California",269,535,973,2361
"06001401400","Census Tract 4014; Alameda County; California",446,536,721,1400
"06001401500","Census Tract 4015; Alameda County; California",204,530,557,922
"06001401600","Census Tract 4016; Alameda County; California",187,221,509,1049
"06001401700","Census Tract 4017; Alameda County; California",282,416,542,1830
"06001401800","Census Tract 4018; Alameda County; California",78,137,369,666
"06001402200","Census Tract 4022; Alameda County; California",236,431,347,1146
"06001402400","Census Tract 4024; Alameda County; California",415,387,657,554
"06001402500","Census Tract 4025; Alameda County; California",178,254,504,320
"06001402600","Census Tract 4026; Alameda County; California",171,96,208,534
"06001402700","Census Tract 4027; Alameda County; California",137,151,342,622
"06001402801","Census Tract 4028.01; Alameda County; California",572,368,285,986
"06001402802","Census Tract 4028.02; Alameda County; California",303,239,493,367
"06001402900","Census Tract 4029; Alameda County; California",181,280,389,1332
"06001403000","Census Tract 4030; Alameda County; California",749,695,208,1372
"06001403100","Census Tract 4031; Alameda County; California",229,146,360,1255
"06001403301","Census Tract 4033.01; Alameda County; California",513,538,199,338
"06001403302","Census Tract 4033.02; Alameda County; California",36,45,504,1937
"06001403401","Census Tract 4034.01; Alameda County; California",280,129,466,1671
"06001403402","Census Tract 4034.02; Alameda County; California",50,40,252,568
"06001403501","Census Tract 4035.01; Alameda County; California",298,504,914,3517
"06001403502","Census Tract 4035.02; Alameda County; California",58,70,476,1154
"06001403600","Census Tract 4036; Alameda County; California",329,318,739,2810
"06001403701","Census Tract 4037.01; Alameda County; California",58,134,547,1502
"06001403702","Census Tract 4037.02; Alameda County; California",24,200,240,1356
"06001403800","Census Tract 4038; Alameda County; California",55,175,540,2496
"06001403900","Census Tract 4039; Alameda County; California",156,137,569,2494
