,fid,GEOID,COUNTYFP,NAMELSAD,median_hh_,median_h_1,CDTFA_COPR,CDTFA_CITY,CDTFA_COUN,CENSUS_PLA,CENSUS_GEO,CENSUS_P_1,GNIS_PLACE,GNIS_ID,acs_2024_tracts_berkeley_oakland_sf_density_city,acs_2024_tracts_berkeley_oakland_sf_density_NAME,acs_2024_tracts_berkeley_oakland_sf_density_year,acs_2024_tracts_berkeley_oakland_sf_density_total_pop,acs_2024_tracts_berkeley_oakland_sf_density_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_poc,acs_2024_tracts_berkeley_oakland_sf_density_median_income,acs_2024_tracts_berkeley_oakland_sf_density_median_home_value,acs_2024_tracts_berkeley_oakland_sf_density_housing_units_total,acs_2024_tracts_berkeley_oakland_sf_density_owner_occupied,acs_2024_tracts_berkeley_oakland_sf_density_renter_occupied,acs_2024_tracts_berkeley_oakland_sf_density_homeownership_rate,acs_2024_tracts_berkeley_oakland_sf_density_area_sq_miles,acs_2024_tracts_berkeley_oakland_sf_density_pop_density,weight_supply_sum, Accessibility_Index,NAME_x,group_0_17,group_18_34,group_35_49,group_50_up,NAME_y,below_high_school,high_school_grad,some_college_assoc,bachelors_plus
0,516,6001423300,1,Census Tract 4233,83450.0,33008.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4233; Alameda County; California,2024.0,3623.0,1691.0,712.0,268.0,521.0,0.4667402704940657,0.196522219155396,0.0739718465360198,0.1438034777808446,0.5332597295059343,101571.0,1101900.0,1476.0,829.0,647.0,0.5616531165311653,0.2802590886462062,12927.323847019308,235498556.54,65000.982,Census Tract 4233; Alameda County; California,650,788,841,1344,Census Tract 4233; Alameda County; California,151,469,637,1501
1,471,6001424002,1,Census Tract 4240.02,103393.0,36279.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4240.02; Alameda County; California,2024.0,2524.0,1042.0,582.0,274.0,455.0,0.41283676703645,0.2305863708399366,0.1085578446909667,0.18026941362916,0.5871632329635499,105813.0,1233500.0,1050.0,553.0,497.0,0.5266666666666666,0.1289524473177348,19573.10661798409,223631256.54,88601.924,Census Tract 4240.02; Alameda County; California,578,546,636,764,Census Tract 4240.02; Alameda County; California,156,93,544,1031
2,469,6001423000,1,Census Tract 4230,86917.0,20998.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4230; Alameda County; California,2024.0,4478.0,2806.0,232.0,804.0,356.0,0.6266190263510496,0.0518088432335864,0.1795444394819115,0.0794997766860205,0.3733809736489504,110536.0,1353400.0,2023.0,842.0,1181.0,0.4162135442412259,0.2818798094608767,15886.203444527022,368316956.54,82250.325,Census Tract 4230; Alameda County; California,462,1401,1078,1537,Census Tract 4230; Alameda County; California,87,107,439,2742
3,541,6001423400,1,Census Tract 4234,107455.0,27066.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4234; Alameda County; California,2024.0,5218.0,2266.0,1019.0,551.0,1061.0,0.4342660022997317,0.1952855500191644,0.1055960137983901,0.2033346109620544,0.5657339977002682,145789.0,1362400.0,1974.0,965.0,1009.0,0.488855116514691,0.2921619476711773,17859.957607733228,260103656.54,49847.385,Census Tract 4234; Alameda County; California,925,1697,1318,1278,Census Tract 4234; Alameda County; California,175,358,873,2574
4,372,6001424001,1,Census Tract 4240.01,87500.0,33040.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4240.01; Alameda County; California,2024.0,4000.0,1667.0,644.0,854.0,631.0,0.41675,0.161,0.2135,0.15775,0.58325,82125.0,1197500.0,1535.0,452.0,1083.0,0.2944625407166124,0.1960488562161282,20403.077463457976,305886856.54,76471.714,Census Tract 4240.01; Alameda County; California,685,1519,729,1067,Census Tract 4240.01; Alameda County; California,277,157,529,1774
5,54,6001422902,1,Census Tract 4229.02,,,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4229.02; Alameda County; California,2024.0,2214.0,641.0,105.0,905.0,186.0,0.2895212285456188,0.0474254742547425,0.4087624209575429,0.084010840108401,0.7104787714543812,60078.0,,1271.0,0.0,1271.0,0.0,0.146673561931656,15094.744893640984,456404456.54,206144.741,Census Tract 4229.02; Alameda County; California,113,1556,142,403,Census Tract 4229.02; Alameda County; California,20,71,354,566
6,542,6001423500,1,Census Tract 4235,89728.0,19995.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4235; Alameda County; California,2024.0,3768.0,2107.0,312.0,389.0,630.0,0.5591825902335457,0.0828025477707006,0.1032377919320594,0.1671974522292993,0.4408174097664543,103702.0,1162700.0,1587.0,488.0,1099.0,0.3074984247006931,0.2443711832629236,15419.166653319908,393899156.54,104537.993,Census Tract 4235; Alameda County; California,514,1484,622,1148,Census Tract 4235; Alameda County; California,130,163,503,1959
7,366,6001423901,1,Census Tract 4239.01,105625.0,67080.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4239.01; Alameda County; California,2024.0,2227.0,1054.0,215.0,317.0,374.0,0.4732824427480916,0.0965424337674,0.1423439604849573,0.1679389312977099,0.5267175572519084,136607.0,1170000.0,969.0,377.0,592.0,0.3890608875128999,0.154191631128872,14443.066615844366,429772628.27,192982.77,Census Tract 4239.01; Alameda County; California,373,746,416,692,Census Tract 4239.01; Alameda County; California,108,81,213,1235
8,55,6001422901,1,Census Tract 4229.01,49604.0,48626.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4229.01; Alameda County; California,2024.0,1768.0,660.0,92.0,751.0,174.0,0.3733031674208145,0.0520361990950226,0.4247737556561086,0.0984162895927601,0.6266968325791855,35917.0,,855.0,9.0,846.0,0.0105263157894736,0.0614237647120844,28783.647636826885,333958056.54,188890.303,Census Tract 4229.01; Alameda County; California,35,1374,136,223,Census Tract 4229.01; Alameda County; California,0,11,94,536
9,872,6001400500,1,Census Tract 4005,95078.0,34125.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4005; Alameda County; California,2024.0,3579.0,1646.0,757.0,263.0,636.0,0.4599050013970382,0.2115115954177144,0.073484213467449,0.1777032690695725,0.5400949986029617,96641.0,1404600.0,1687.0,816.0,871.0,0.4836988737403675,0.2278655549059719,15706.630172677324,392305200.0,109613.076,Census Tract 4005; Alameda County; California,563,1089,986,941,Census Tract 4005; Alameda County; California,80,98,576,1999
10,951,6001400700,1,Census Tract 4007,110556.0,12318.0,1013,Berkeley,Alameda County,Berkeley,606000,City,City of Berkeley,2409837,Berkeley,Census Tract 4007; Alameda County; California,2024.0,4576.0,2061.0,1200.0,528.0,422.0,0.4503933566433566,0.2622377622377622,0.1153846153846153,0.0922202797202797,0.5496066433566433,127083.0,1103600.0,1985.0,828.0,1157.0,0.4171284634760705,0.3337672144431035,13710.154269151742,373211456.54,81558.448,Census Tract 4007; Alameda County; California,724,1261,1297,1294,Census Tract 4007; Alameda County; California,68,256,764,2618
