full_id,osm_id,osm_type,shop,contact:phone,name:zh,addr:unit,official_name,contact:facebook,sfgov:OBJNAME,payment:contactless,organic,level,origin,alt_name,addr:housename,atm,payment:debit_cards,payment:credit_cards,payment:cash,roof:shape,start_date,roof:colour,internet_access,building:colour,layer,operator,wikipedia,wikidata,payment:visa,payment:mastercard,image,email,cooperative,roof:levels,check_date:opening_hours,smoking,ref,branch,wheelchair,phone,height,designation,website,type,opening_hours,name,check_date,building:levels,building,brand:wikidata,brand,addr:street,addr:state,addr:postcode,addr:housenumber,addr:country,addr:city
r3585039,"3585039",relation,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://local.andronicos.com/ca/san-francisco/1200-irving-st.html,multipolygon,"06:00-23:00",Andronico's Community Market,2025-09-24,"1",retail,Q4759491,Andronico's,Irving Street,CA,"94122","1200",US,San Francisco
w25821952,"25821952",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06:00-01:00",Foods Co,,,retail,Q5465282,Foods Co,Folsom Street,,,"1800",,
w26135377,"26135377",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,+1 415-563-4946,"5",Safeway 1711,https://local.safeway.com/safeway/ca/san-francisco/15-marina-blvd.html,,24/7,Safeway,,,yes,Q1508234,Safeway,Marina Boulevard,CA,"94123","15",,San Francisco
w28941473,"28941473",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"909","0909",,+1 415-665-4136,"5",Safeway 0909,https://local.safeway.com/safeway/ca/san-francisco/730-taraval-st.html,,"06:00-24:00",Safeway,,,yes,Q1508234,Safeway,Taraval Street,CA,"94116","730",,San Francisco
w32611756,"32611756",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,yes,,,,,,,Luke's Local Grocery,2023-05-27,,commercial,,,Green Street,CA,"94133","580",,San Francisco
w34323155,"34323155",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",2022-08-11,,"100",San Francisco,yes,+1 415-346-9964,"7",,https://locations.traderjoes.com/ca/san-francisco/100/,,Mo-Su 08:00-21:00,Trader Joe's,2026-02-17,"1",retail,Q688825,Trader Joe's,Masonic Avenue,CA,"94118","3",,San Francisco
w42916777,"42916777",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,Cash & Carry,,,yes,,,,,,,,
w151183375,"151183375",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-330-1870,"6",,foodsco.net,,Mo-Su 06:00-00:00,Foods Co,,,yes,Q5465282,Foods Co,Williams Avenue,CA,"94124","345",,San Francisco
w169204245,"169204245",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,en:Rainbow Grocery Cooperative,Q7284643,yes,yes,https://upload.wikimedia.org/wikipedia/en/4/46/Rainbow_grocery_logo.png,general@rainbow.coop,yes,,,,,,yes,+1 415-863-0620,,,https://www.rainbow.coop/,,"Mo-Su 09:00-21:00; PH closed; Mar 31 closed; May 01 closed",Rainbow Grocery Coop,2025-12-06,,hall,,,Folsom Street,CA,"94103","1745",US,San Francisco
w170845442,"170845442",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"8",,,,,Smart & Final,,,yes,Q7543916,Smart & Final,,,,,,
w194906343,"194906343",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,Whole Foods,,,,,,,,,2024-10-03,,noevalley,Noe Valley,,+1 415-282-4700,,,https://www.wholefoodsmarket.com/stores/noevalley,,Mo-Su 08:00-22:00,Whole Foods Market,2024-10-03,,yes,Q1809448,Whole Foods Market,24th Street,CA,"94114","3950",,San Francisco
