full_id,osm_id,osm_type,shop,organic,toilets:wheelchair,toilets:disposal,toilets,drinking_water,contact:instagram,ref,check_date,branch,wikipedia,wikidata,old_name,alt_name,addr:country,check_date:opening_hours,brand:wikidata,brand,addr:state,addr:postcode,wheelchair,website,phone,payment:debit_cards,payment:credit_cards,opening_hours,name,diet:kosher,diet:halal,building:levels,building,addr:street,addr:housenumber,addr:city,amenity,entrance,layer,path
w23226440,"23226440",way,supermarket,,,,,,,,,,,,,,,,,,,,yes,https://www.berkeleybowl.com/,+1-510-843-6929,yes,yes,"Mo-Sa 09:00-20:00; Su 10:00-19:00",Berkeley Bowl,yes,yes,"1",retail,Oregon Street,"2020",Berkeley,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=organic:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=toilets%3Adisposal:string(0,0)&field=toilets:string(0,0)&field=drinking_water:string(0,0)&field=contact%3Ainstagram:string(0,0)&field=ref:string(0,0)&field=check_date:string(0,0)&field=branch:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=old_name:string(0,0)&field=alt_name:string(0,0)&field=addr%3Acountry:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=payment%3Adebit_cards:string(0,0)&field=payment%3Acredit_cards:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=diet%3Akosher:string(0,0)&field=diet%3Ahalal:string(0,0)&field=building%3Alevels:string(0,0)&field=building:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f75271c0-3d5c-4e4a-9cc4-ce6666185b76}"
w24221445,"24221445",way,supermarket,,,,,,,,,,,,,,,2022-12-19,Q1508234,Safeway,CA,"94709",yes,https://local.safeway.com/safeway/ca/berkeley/1444-shattuck-place.html,+1 510-526-3086,,,Mo-Su 05:00-23:00,Safeway,,,"1",retail,Shattuck Avenue,"1444",Berkeley,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=organic:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=toilets%3Adisposal:string(0,0)&field=toilets:string(0,0)&field=drinking_water:string(0,0)&field=contact%3Ainstagram:string(0,0)&field=ref:string(0,0)&field=check_date:string(0,0)&field=branch:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=old_name:string(0,0)&field=alt_name:string(0,0)&field=addr%3Acountry:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=payment%3Adebit_cards:string(0,0)&field=payment%3Acredit_cards:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=diet%3Akosher:string(0,0)&field=diet%3Ahalal:string(0,0)&field=building%3Alevels:string(0,0)&field=building:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f75271c0-3d5c-4e4a-9cc4-ce6666185b76}"
w30877164,"30877164",way,supermarket,,,,,,,,,,,,"Safeway Community Markets;Park & Shop",Andronico's,US,,Q4759491,Andronico's,CA,"94707",,https://local.andronicos.com/ca/berkeley/1850-solano-ave.html,+1-510-524-1673,,,Mo-Su 06:00-23:00,Andronico's Community Market,,,,retail,Solano Avenue,"1850",Berkeley,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=organic:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=toilets%3Adisposal:string(0,0)&field=toilets:string(0,0)&field=drinking_water:string(0,0)&field=contact%3Ainstagram:string(0,0)&field=ref:string(0,0)&field=check_date:string(0,0)&field=branch:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=old_name:string(0,0)&field=alt_name:string(0,0)&field=addr%3Acountry:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=payment%3Adebit_cards:string(0,0)&field=payment%3Acredit_cards:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=diet%3Akosher:string(0,0)&field=diet%3Ahalal:string(0,0)&field=building%3Alevels:string(0,0)&field=building:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f75271c0-3d5c-4e4a-9cc4-ce6666185b76}"
w32456726,"32456726",way,supermarket,,,,,,,,,,en:Monterey Market,Q6905325,,,US,,,,CA,"94707",,,,,,"Mo-Fr 09:00-19:00; Sa, Su 08:30-18:00",Monterey Market,,,"1",retail,Hopkins Street,"1550",Berkeley,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=organic:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=toilets%3Adisposal:string(0,0)&field=toilets:string(0,0)&field=drinking_water:string(0,0)&field=contact%3Ainstagram:string(0,0)&field=ref:string(0,0)&field=check_date:string(0,0)&field=branch:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=old_name:string(0,0)&field=alt_name:string(0,0)&field=addr%3Acountry:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=payment%3Adebit_cards:string(0,0)&field=payment%3Acredit_cards:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=diet%3Akosher:string(0,0)&field=diet%3Ahalal:string(0,0)&field=building%3Alevels:string(0,0)&field=building:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f75271c0-3d5c-4e4a-9cc4-ce6666185b76}"
w37994792,"37994792",way,supermarket,,,,,,,berkeley,2024-10-03,Berkeley,,,,,,2024-10-03,Q1809448,Whole Foods Market,CA,"94705",,https://www.wholefoodsmarket.com/stores/berkeley,+1 510-649-1333,,,Mo-Su 08:00-22:00,Whole Foods Market,,,,retail,Telegraph Avenue,"3000",Berkeley,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=organic:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=toilets%3Adisposal:string(0,0)&field=toilets:string(0,0)&field=drinking_water:string(0,0)&field=contact%3Ainstagram:string(0,0)&field=ref:string(0,0)&field=check_date:string(0,0)&field=branch:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=old_name:string(0,0)&field=alt_name:string(0,0)&field=addr%3Acountry:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=payment%3Adebit_cards:string(0,0)&field=payment%3Acredit_cards:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=diet%3Akosher:string(0,0)&field=diet%3Ahalal:string(0,0)&field=building%3Alevels:string(0,0)&field=building:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f75271c0-3d5c-4e4a-9cc4-ce6666185b76}"
w52769190,"52769190",way,supermarket,,,,,,berkeleybowl,,,,,,,,US,,,,CA,"94710",yes,https://www.berkeleybowl.com/,+1-510-898-9555,yes,yes,"Mo-Sa 09:00-20:00; Su 10:00-19:00",Berkeley Bowl West,yes,,,yes,Heinz Avenue,"920",Berkeley,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=organic:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=toilets%3Adisposal:string(0,0)&field=toilets:string(0,0)&field=drinking_water:string(0,0)&field=contact%3Ainstagram:string(0,0)&field=ref:string(0,0)&field=check_date:string(0,0)&field=branch:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=old_name:string(0,0)&field=alt_name:string(0,0)&field=addr%3Acountry:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=payment%3Adebit_cards:string(0,0)&field=payment%3Acredit_cards:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=diet%3Akosher:string(0,0)&field=diet%3Ahalal:string(0,0)&field=building%3Alevels:string(0,0)&field=building:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f75271c0-3d5c-4e4a-9cc4-ce6666185b76}"
w134483637,"134483637",way,grocery,,,,,,naturalgroceryco,,,,,,,,US,,,,CA,,,https://naturalgrocery.com/,,,,Mo-Su 08:30-20:30,Berkeley Natural Grocery,,,,retail,Gilman Street,"1336",Berkeley,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=organic:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=toilets%3Adisposal:string(0,0)&field=toilets:string(0,0)&field=drinking_water:string(0,0)&field=contact%3Ainstagram:string(0,0)&field=ref:string(0,0)&field=check_date:string(0,0)&field=branch:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=old_name:string(0,0)&field=alt_name:string(0,0)&field=addr%3Acountry:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=payment%3Adebit_cards:string(0,0)&field=payment%3Acredit_cards:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=diet%3Akosher:string(0,0)&field=diet%3Ahalal:string(0,0)&field=building%3Alevels:string(0,0)&field=building:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f75271c0-3d5c-4e4a-9cc4-ce6666185b76}"
w294213897,"294213897",way,supermarket,,yes,flush,yes,yes,,"1627736",2024-10-03,Gilman,,,,,,2024-10-03,Q1809448,Whole Foods Market,CA,"94710",yes,https://www.wholefoodsmarket.com/stores/gilman,+1 510-809-8293,,,Mo-Su 08:00-22:00,Whole Foods Market,,,,retail,Gilman Street,"1025",Berkeley,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=organic:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=toilets%3Adisposal:string(0,0)&field=toilets:string(0,0)&field=drinking_water:string(0,0)&field=contact%3Ainstagram:string(0,0)&field=ref:string(0,0)&field=check_date:string(0,0)&field=branch:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=old_name:string(0,0)&field=alt_name:string(0,0)&field=addr%3Acountry:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=payment%3Adebit_cards:string(0,0)&field=payment%3Acredit_cards:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=diet%3Akosher:string(0,0)&field=diet%3Ahalal:string(0,0)&field=building%3Alevels:string(0,0)&field=building:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f75271c0-3d5c-4e4a-9cc4-ce6666185b76}"
w310635103,"310635103",way,supermarket,yes,,,,,,,,,,,"Safeway Community Markets;Co-op",,US,,Q4759491,Andronico's,CA,"94709",yes,https://local.andronicos.com/ca/berkeley/1550-shattuck-ave.html,,,,Mo-Su 06:00-23:00,Andronico's,,,"2",retail,Shattuck Avenue,"1550",Berkeley,,,Centroids,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=organic:string(0,0)&field=toilets%3Awheelchair:string(0,0)&field=toilets%3Adisposal:string(0,0)&field=toilets:string(0,0)&field=drinking_water:string(0,0)&field=contact%3Ainstagram:string(0,0)&field=ref:string(0,0)&field=check_date:string(0,0)&field=branch:string(0,0)&field=wikipedia:string(0,0)&field=wikidata:string(0,0)&field=old_name:string(0,0)&field=alt_name:string(0,0)&field=addr%3Acountry:string(0,0)&field=check_date%3Aopening_hours:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=wheelchair:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=payment%3Adebit_cards:string(0,0)&field=payment%3Acredit_cards:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=diet%3Akosher:string(0,0)&field=diet%3Ahalal:string(0,0)&field=building%3Alevels:string(0,0)&field=building:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={f75271c0-3d5c-4e4a-9cc4-ce6666185b76}"
n661753960,"661753960",node,supermarket,,,,,,,,,,,,,,,,,,,,,https://m.facebook.com/stargroceryberkeley/,+1 510-652-2490,,,"Mo-Sa 09:00-18:00; Su 10:00-15:00",Star Grocery,,,,,Claremont Avenue,"3068",Berkeley,,,points,"Point?crs=EPSG:4326&field=full_id:string(0,0)&field=osm_id:string(0,0)&field=osm_type:string(0,0)&field=shop:string(0,0)&field=amenity:string(0,0)&field=entrance:string(0,0)&field=wheelchair:string(0,0)&field=ref:string(0,0)&field=brand%3Awikidata:string(0,0)&field=brand:string(0,0)&field=branch:string(0,0)&field=addr%3Astate:string(0,0)&field=addr%3Apostcode:string(0,0)&field=website:string(0,0)&field=phone:string(0,0)&field=opening_hours:string(0,0)&field=name:string(0,0)&field=addr%3Astreet:string(0,0)&field=addr%3Ahousenumber:string(0,0)&field=addr%3Acity:string(0,0)&uid={04a1eb99-4860-4f59-b3f0-c1b55eee94ac}"
