X,Y,full_id,osm_id,osm_type,shop,contact_ph,name_zh,addr_unit,official_n,contact_fa,sfgov_OBJN,payment_co,organic,level,origin,alt_name,addr_house,atm,payment_de,payment_cr,payment_ca,roof_shape,start_date,roof_colou,internet_a,building_c,layer,operator,wikipedia,wikidata,payment_vi,payment_ma,image,email,cooperativ,roof_level,check_date,smoking,ref,branch,wheelchair,phone,height,designatio,website,type,opening_ho,name,check_da_1,building_l,building,brand_wiki,brand,addr_stree,addr_state,addr_postc,addr_hou_1,addr_count,addr_city,name_zh-Ha,name_zh-_1,name_ko,name_en,alt_name_k,payment_am,entrance,door,automatic_,drink_wine,diet_veget,diet_vegan,diet_halal,descriptio,wikimedia_,payment_ap,cuisine,toilets_wh,old_name,addr_cou_1,visibility,support,faces,display,date,amenity,self_check,opening__1,internet_1,dog,path
546578.541405658,4179777.20253757,r3585039,"3585039",relation,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://local.andronicos.com/ca/san-francisco/1200-irving-st.html,multipolygon,"06:00-23:00",Andronico's Community Market,2025-09-24,"1",retail,Q4759491,Andronico's,Irving Street,CA,"94122","1200",US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
551426.123842763,4180195.56558181,w25821952,"25821952",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"06:00-01:00",Foods Co,,,retail,Q5465282,Foods Co,Folsom Street,,,"1800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
549929.251397528,4184271.07792885,w26135377,"26135377",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,+1 415-563-4946,"5",Safeway 1711,https://local.safeway.com/safeway/ca/san-francisco/15-marina-blvd.html,,24/7,Safeway,,,yes,Q1508234,Safeway,Marina Boulevard,CA,"94123","15",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
546333.581629284,4177477.36240335,w28941473,"28941473",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"909","0909",,+1 415-665-4136,"5",Safeway 0909,https://local.safeway.com/safeway/ca/san-francisco/730-taraval-st.html,,"06:00-24:00",Safeway,,,yes,Q1508234,Safeway,Taraval Street,CA,"94116","730",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
552048.376072639,4183752.86312182,w32611756,"32611756",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,yes,,,,,,,Luke's Local Grocery,2023-05-27,,commercial,,,Green Street,CA,"94133","580",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
548620.674549402,4181924.98956398,w34323155,"34323155",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",2022-08-11,,"100",San Francisco,yes,+1 415-346-9964,"7",,https://locations.traderjoes.com/ca/san-francisco/100/,,Mo-Su 08:00-21:00,Trader Joe's,2025-04-26,"1",retail,Q688825,Trader Joe's,Masonic Avenue,CA,"94118","3",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
551213.432257299,4180517.68792737,w42916777,"42916777",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5",,,,,Cash & Carry,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
552974.87719004,4176004.84693178,w151183375,"151183375",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-415-330-1870,"6",,foodsco.net,,Mo-Su 06:00-00:00,Foods Co,,,yes,Q5465282,Foods Co,Williams Avenue,CA,"94124","345",,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
551510.816146993,4180356.42230871,w169204245,"169204245",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,en:Rainbow Grocery Cooperative,Q7284643,yes,yes,https://upload.wikimedia.org/wikipedia/en/4/46/Rainbow_grocery_logo.png,general@rainbow.coop,yes,,,,,,yes,+1 415-863-0620,,,https://www.rainbow.coop/,,"Mo-Su 09:00-21:00; PH closed; Mar 31 closed; May 01 closed",Rainbow Grocery Coop,2025-12-06,,hall,,,Folsom Street,CA,"94103","1745",US,San Francisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
547094.937949099,4181794.63850626,w170845442,"170845442",way,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,"8",,,,,Smart & Final,,,yes,Q7543916,Smart & Final,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/Users/admin/Desktop/QGIS/Polygon_markets_sf.shp
