fid,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,layer,path,field_1,median_hh_,median_h_1,CDTFA_COPR,CDTFA_CITY,CDTFA_COUN,CENSUS_PLA,CENSUS_GEO,CENSUS_P_1,GNIS_PLACE,GNIS_ID,City_name,year,total_pop,white_nh,black_nh,asian_nh,hispanic,pct_white_nh,pct_black_nh,pct_asian_nh,pct_hispanic,pct_poc,median_income,median_home_value,housing_units_total,owner_occupied,renter_occupied,homeownership_rate,area_sq_miles,pop_density,weight_supply_sum,Accessibility_Index,NAME_x,group_0_17,group_18_34,group_35_49,group_50_up,NAME_y,below_high_school,high_school_grad,some_college_assoc,bachelors_plus
1,"06","001","403402","06001403402","4034.02",Census Tract 4034.02,G5020,S,99215,0,"+37.8024095","-122.2651075",missed_Tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/missed_Tracts.gpkg|layername=tl_2022_06_tract,"100","89021.0","15101.0","1017",Oakland,Alameda County,Oakland,"653000",City,City of Oakland,"2411292",Oakland,"2024.0","998.0","339.0","291.0","76.0","238.0","0.3396793587174350","0.2915831663326650","0.0761523046092184","0.2384769539078160","0.6603206412825650","103362.0",,"760.0","0.0","760.0","0.0","0.0383166225567287","26046.136987215800","211807200.0","212231.663","Census Tract 4034.02; Alameda County; California","18","404","272","304","Census Tract 4034.02; Alameda County; California","50","40","252","568"
2,"06","075","032901","06075032901","329.01",Census Tract 329.01,G5020,S,671900,0,"+37.7461540","-122.4901873",missed_Tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/missed_Tracts.gpkg|layername=tl_2022_06_tract,"187","154291.0","8694.0","38001",San Francisco,San Francisco County,San Francisco,"667000",City,City of San Francisco,"2411786",San Francisco,"2024.0","6013.0","975.0","225.0","3769.0","354.0","0.1621486778646270","0.0374189256610676","0.6268085814069520","0.0588724430400798","0.8378513221353730","176000.0","1532000.0","1722.0","1249.0","473.0","0.7253193960511030","0.2594315378681670","23177.59841155310","176559500.0","29362.964","Census Tract 329.01; San Francisco County; California","1478","944","1360","2231","Census Tract 329.01; San Francisco County; California","606","438","1067","2212"
3,"06","001","405000","06001405000","4050",Census Tract 4050,G5020,S,800678,0,"+37.8120851","-122.2190899",missed_Tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/missed_Tracts.gpkg|layername=tl_2022_06_tract,"141","152857.0","46578.0","1017",Oakland,Alameda County,Oakland,"653000",City,City of Oakland,"2411292",Oakland,"2024.0","3566.0","1970.0","313.0","436.0","462.0","0.5524397083567020","0.0877734155916993","0.1222658440830060","0.129556926528323","0.4475602916432980","136406.0","1404000.0","1581.0","1047.0","534.0","0.6622390891840610","0.3108658745714610","11471.18513704940","300833400.0","84361.582","Census Tract 4050; Alameda County; California","759","489","904","1414","Census Tract 4050; Alameda County; California","106","236","541","1792"
4,"06","001","406000","06001406000","4060",Census Tract 4060,G5020,S,2113649,525188,"+37.7923700","-122.2603108",missed_Tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/missed_Tracts.gpkg|layername=tl_2022_06_tract,"169","56763.0","11845.0","1017",Oakland,Alameda County,Oakland,"653000",City,City of Oakland,"2411292",Oakland,"2024.0","5157.0","741.0","1106.0","2052.0","910.0","0.1436881908086100","0.2144657746751990","0.3979057591623040","0.1764591816947840","0.8563118091913900","60441.0","697100.0","2310.0","257.0","2053.0","0.1112554112554110","1.0179448903680100","5066.089577929530","292658700.0","56749.796","Census Tract 4060; Alameda County; California","750","1238","1069","2100","Census Tract 4060; Alameda County; California","1231","653","1030","1146"
5,"06","075","033001","06075033001","330.01",Census Tract 330.01,G5020,S,575942,0,"+37.7404650","-122.4907650",missed_Tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/missed_Tracts.gpkg|layername=tl_2022_06_tract,"184","148239.0","43703.0","38001",San Francisco,San Francisco County,San Francisco,"667000",City,City of San Francisco,"2411786",San Francisco,"2024.0","3911.0","668.0","3.0","2563.0","441.0","0.1708003068268980","0.000767067246228586","0.6553311173612890","0.1127588851956020","0.8291996931731020","183021.0","1549300.0","1419.0","1246.0","173.0","0.8780831571529250","0.226814358075642","17243.176460176700","257349900.0","65801.56","Census Tract 330.01; San Francisco County; California","600","650","707","1954","Census Tract 330.01; San Francisco County; California","289","504","476","1908"
6,"06","075","047802","06075047802","478.02",Census Tract 478.02,G5020,S,339447,0,"+37.7792040","-122.4973930",missed_Tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/missed_Tracts.gpkg|layername=tl_2022_06_tract,"363","125682.0","13514.0","38001",San Francisco,San Francisco County,San Francisco,"667000",City,City of San Francisco,"2411786",San Francisco,"2024.0","3581.0","1355.0","15.0","1542.0","558.0","0.3783859257190730","0.0041887740854509","0.4306059759843620","0.1558223959787770","0.6216140742809270","129415.0","1540000.0","1418.0","685.0","733.0","0.4830747531734840","0.1310707502006790","27321.12232910250","209480700.0","58497.822","Census Tract 478.02; San Francisco County; California","636","718","783","1444","Census Tract 478.02; San Francisco County; California","314","255","499","1565"
7,"06","001","403401","06001403401","4034.01",Census Tract 4034.01,G5020,S,549686,602434,"+37.8092493","-122.2597833",new_tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/new_tracts.gpkg|layername=tl_2022_06_tract,"123","69984.0","15753.0","1017",Oakland,Alameda County,Oakland,"653000",City,City of Oakland,"2411292",Oakland,"2024.0","2724.0","1188.0","443.0","611.0","208.0","0.4361233480176210","0.1626284875183550","0.224302496328928","0.0763582966226138","0.5638766519823790","70472.0","949000.0","1969.0","360.0","1609.0","0.1828339258506860","0.4409519069066330","6177.544438143860","369241800.0","135551.322","Census Tract 4034.01; Alameda County; California","84","673","658","1309","Census Tract 4034.01; Alameda County; California","280","129","466","1671"
8,"06","001","403302","06001403302","4033.02",Census Tract 4033.02,G5020,S,719239,104126,"+37.7937603","-122.2667344",new_tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/new_tracts.gpkg|layername=tl_2022_06_tract,"97","148235.0","28657.0","1017",Oakland,Alameda County,Oakland,"653000",City,City of Oakland,"2411292",Oakland,"2024.0","2819.0","995.0","121.0","691.0","310.0","0.3529620432777580","0.0429230223483504","0.245122383824051","0.1099680737850300","0.647037956722242","144813.0","647100.0","1726.0","402.0","1324.0","0.2329084588644260","0.3196644848926300","8818.621189485140","277773000.0","98536.006","Census Tract 4033.02; Alameda County; California","85","1664","607","463","Census Tract 4033.02; Alameda County; California","36","45","504","1937"
9,"06","001","982100","06001982100","9821",Census Tract 9821,G5020,S,1695361,0,"+37.8737516","-122.2546176",new_tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/new_tracts.gpkg|layername=tl_2022_06_tract,"34",,,"1013",Berkeley,Alameda County,Berkeley,"606000",City,City of Berkeley,"2409837",Berkeley,"2024.0","1104.0","427.0","107.0","339.0","184.0","0.3867753623188410","0.0969202898550724","0.3070652173913040","0.1666666666666670","0.6132246376811590","152250.0",,"27.0","3.0","24.0","0.1111111111111110","0.6570733696316360","1680.1776651196800","439817656.54","398385.558","Census Tract 9821; Alameda County; California","26","1041","22","15","Census Tract 9821; Alameda County; California","0","0","7","102"
10,"06","001","402801","06001402801","4028.01",Census Tract 4028.01,G5020,S,291472,0,"+37.8095483","-122.2707403",new_tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/new_tracts.gpkg|layername=tl_2022_06_tract,"98","74931.0","55222.0","1017",Oakland,Alameda County,Oakland,"653000",City,City of Oakland,"2411292",Oakland,"2024.0","2891.0","643.0","1227.0","617.0","252.0","0.2224143894846070","0.4244206157039090","0.2134209616049810","0.0871670702179176","0.7775856105153930","50469.0","847000.0","1647.0","175.0","1472.0","0.1062537947783850","0.1114638255558470","25936.665869695200","330940900.0","114472.812","Census Tract 4028.01; Alameda County; California","361","997","564","969","Census Tract 4028.01; Alameda County; California","572","368","285","986"
11,"06","001","402802","06001402802","4028.02",Census Tract 4028.02,G5020,S,118446,0,"+37.8070174","-122.2735577",new_tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/new_tracts.gpkg|layername=tl_2022_06_tract,"96",,,"1017",Oakland,Alameda County,Oakland,"653000",City,City of Oakland,"2411292",Oakland,"2024.0","1602.0","396.0","655.0","325.0","127.0","0.247191011235955","0.4088639200998750","0.2028714107365790","0.0792759051186017","0.752808988764045","19981.0","785700.0","935.0","36.0","899.0","0.0385026737967914","0.0465495017199151","34414.97633291790","283014400.0","176663.171","Census Tract 4028.02; Alameda County; California","67","348","292","895","Census Tract 4028.02; Alameda County; California","303","239","493","367"
12,"06","001","403301","06001403301","4033.01",Census Tract 4033.01,G5020,S,196598,0,"+37.7981065","-122.2669550",new_tracts — tl_2022_06_tract,/Users/admin/Desktop/OPEN_project/new_tracts.gpkg|layername=tl_2022_06_tract,"99","34417.0","16976.0","1017",Oakland,Alameda County,Oakland,"653000",City,City of Oakland,"2411292",Oakland,"2024.0","1900.0","106.0","112.0","1372.0","34.0","0.0557894736842105","0.0589473684210526","0.7221052631578950","0.0178947368421052","0.9442105263157900","40720.0","583300.0","867.0","170.0","697.0","0.196078431372549","0.0758835826268613","25038.353939386000","284391400.0","149679.684","Census Tract 4033.01; Alameda County; California","275","419","241","965","Census Tract 4033.01; Alameda County; California","513","538","199","338"
