fid,GEOID,COUNTYFP,NAMELSAD,median_hh_,median_h_1,CDTFA_COPR,CDTFA_CITY,CDTFA_COUN,CENSUS_PLA,CENSUS_GEO,CENSUS_P_1,GNIS_PLACE,GNIS_ID,acs_2024_tracts_berkeley_oakland_sf_density_city,acs_2024_tracts_berkeley_oakland_sf_density_NAME,acs_2024_tracts_berkeley_oakland_sf_density_year,acs_2024_tracts_berkeley_oakland_sf_density_total_pop,acs_2024_tracts_berkeley_oakland_sf_density_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_white_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_black_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_asian_nh,acs_2024_tracts_berkeley_oakland_sf_density_pct_hispanic,acs_2024_tracts_berkeley_oakland_sf_density_pct_poc,acs_2024_tracts_berkeley_oakland_sf_density_median_income,acs_2024_tracts_berkeley_oakland_sf_density_median_home_value,acs_2024_tracts_berkeley_oakland_sf_density_housing_units_total,acs_2024_tracts_berkeley_oakland_sf_density_owner_occupied,acs_2024_tracts_berkeley_oakland_sf_density_renter_occupied,acs_2024_tracts_berkeley_oakland_sf_density_homeownership_rate,acs_2024_tracts_berkeley_oakland_sf_density_area_sq_miles,acs_2024_tracts_berkeley_oakland_sf_density_pop_density,weight_supply_sum,Accessibility_Index
516,"06001423300","001",Census Tract 4233,83450.000000000000000,33008.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4233; Alameda County; California","2024","3623","1691","712","268","521","0.4667402704940657","0.19652221915539608","0.07397184653601988","0.1438034777808446","0.5332597295059343","101571","1101900","1476","829","647","0.5616531165311653","0.28025908864620624","12927.323847019308",235498556.540000,65000.982
471,"06001424002","001",Census Tract 4240.02,103393.000000000000000,36279.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4240.02; Alameda County; California","2024","2524","1042","582","274","455","0.41283676703645006","0.2305863708399366","0.10855784469096671","0.18026941362916007","0.5871632329635499","105813","1233500","1050","553","497","0.5266666666666666","0.1289524473177348","19573.10661798409",223631256.540000,88601.924
469,"06001423000","001",Census Tract 4230,86917.000000000000000,20998.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4230; Alameda County; California","2024","4478","2806","232","804","356","0.6266190263510496","0.05180884323358642","0.17954443948191157","0.07949977668602054","0.3733809736489504","110536","1353400","2023","842","1181","0.4162135442412259","0.2818798094608767","15886.203444527022",368316956.540000,82250.325
541,"06001423400","001",Census Tract 4234,107455.000000000000000,27066.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4234; Alameda County; California","2024","5218","2266","1019","551","1061","0.4342660022997317","0.19528555001916442","0.10559601379839019","0.20333461096205444","0.5657339977002682","145789","1362400","1974","965","1009","0.488855116514691","0.2921619476711773","17859.957607733228",260103656.540000,49847.385
372,"06001424001","001",Census Tract 4240.01,87500.000000000000000,33040.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4240.01; Alameda County; California","2024","4000","1667","644","854","631","0.41675","0.161","0.2135","0.15775","0.58325","82125","1197500","1535","452","1083","0.2944625407166124","0.19604885621612828","20403.077463457976",305886856.540000,76471.714
54,"06001422902","001",Census Tract 4229.02,,,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4229.02; Alameda County; California","2024","2214","641","105","905","186","0.2895212285456188","0.04742547425474255","0.4087624209575429","0.08401084010840108","0.7104787714543812","60078",NA,"1271","0","1271","0","0.14667356193165607","15094.744893640984",456404456.540000,206144.741
542,"06001423500","001",Census Tract 4235,89728.000000000000000,19995.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4235; Alameda County; California","2024","3768","2107","312","389","630","0.5591825902335457","0.08280254777070063","0.10323779193205945","0.16719745222929935","0.44081740976645434","103702","1162700","1587","488","1099","0.3074984247006931","0.24437118326292362","15419.166653319908",393899156.540000,104537.993
366,"06001423901","001",Census Tract 4239.01,105625.000000000000000,67080.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4239.01; Alameda County; California","2024","2227","1054","215","317","374","0.4732824427480916","0.09654243376740008","0.14234396048495734","0.16793893129770993","0.5267175572519084","136607","1170000","969","377","592","0.3890608875128999","0.154191631128872","14443.066615844366",429772628.270000,192982.770
55,"06001422901","001",Census Tract 4229.01,49604.000000000000000,48626.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4229.01; Alameda County; California","2024","1768","660","92","751","174","0.3733031674208145","0.05203619909502263","0.4247737556561086","0.09841628959276018","0.6266968325791855","35917",NA,"855","9","846","0.010526315789473684","0.061423764712084446","28783.647636826885",333958056.540000,188890.303
872,"06001400500","001",Census Tract 4005,95078.000000000000000,34125.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4005; Alameda County; California","2024","3579","1646","757","263","636","0.45990500139703827","0.21151159541771444","0.073484213467449","0.1777032690695725","0.5400949986029617","96641","1404600","1687","816","871","0.4836988737403675","0.2278655549059719","15706.630172677325",392305200.000000,109613.076
951,"06001400700","001",Census Tract 4007,110556.000000000000000,12318.000000000000000,"01013",Berkeley,Alameda County,Berkeley,"0606000",City,City of Berkeley,2409837,Berkeley,"Census Tract 4007; Alameda County; California","2024","4576","2061","1200","528","422","0.45039335664335667","0.26223776223776224","0.11538461538461539","0.09222027972027973","0.5496066433566433","127083","1103600","1985","828","1157","0.4171284634760705","0.3337672144431035","13710.154269151742",373211456.540000,81558.448
