full_id,osm_id,osm_type,shop,email,addr:county,origin,name:zh-Hant,name:zh-Hans,name:ko,name:en,alt_name:ko,start_date,payment:american_express,entrance,door,automatic_door,payment:contactless,operator,atm,diet:vegetarian,diet:vegan,diet:halal,description,contact:facebook,official_name,wikimedia_commons,payment:debit_cards,payment:apple_pay,opening_hours:url,cuisine,addr:unit,toilets:wheelchair,payment:visa,payment:mastercard,old_name,level,alt_name,payment:credit_cards,payment:cash,name:zh,addr:country,visibility,support,faces,display,date,amenity,branch,check_date,wheelchair,website,self_checkout,ref,phone,organic,opening_hours,name,internet_access:fee,internet_access,dog,designation,check_date:opening_hours,brand:wikidata,brand,addr:street,addr:state,addr:postcode,addr:housenumber,addr:city
n293632937,"293632937",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://local.safeway.com/safeway/ca/san-francisco/298-king-st.html,no,"2606",+1 415-633-1001,yes,Su-Sa 06:00-22:00,Safeway,no,wlan,no,Safeway 2606,2024-09-02,Q1508234,Safeway,King Street,CA,"94107","298",San Francisco
n332787306,"332787306",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-11-03,yes,,,,,,,Calmart,,,,,,,,,,,,
n389404007,"389404007",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SoMa,2024-10-03,,https://www.wholefoodsmarket.com/stores/soma,,soma,+1 415-618-0066,yes,Mo-Su 08:00-22:00,Whole Foods Market,,,no,,2024-10-03,Q1809448,Whole Foods Market,4th Street,CA,"94107","399",San Francisco
n411910255,"411910255",node,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,street,wall_mounted,"3",analog,no,clock,,,,,,,,,,,,,,,,,,,,,,
n416779714,"416779714",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,Marina Supermarket,,,,,,,,Chestnut Street,CA,,"2323",San Francisco
n459504817,"459504817",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,https://www.molliestones.com/,,,+1-415-255-8959,,Mo-Su 07:00-21:00,Mollie Stone's,,,,,,,,18th Street,,,"4201",
n612767884,"612767884",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,恆興超級市場,US,,,,,,,,,,,,,+1 415 3972668,,,JW & L Market,,,,,,,,Stockton Street,CA,,"1401",San Francisco
n761762694,"761762694",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Francisco - Stonestown,,,https://locations.traderjoes.com/ca/san-francisco/236/,,"236",+1 415-665-1835,,Mo-Su 08:00-21:00,Trader Joe's,,,,,,Q688825,Trader Joe's,Winston Drive,CA,"94132","265",San Francisco
n1002186270,"1002186270",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Franklin,2024-10-03,yes,https://www.wholefoodsmarket.com/stores/franklin,,franklin,+1 415-674-0500,,Mo-Su 08:00-22:00,Whole Foods Market,no,wlan,,,2024-10-03,Q1809448,Whole Foods Market,California Street,CA,"94109","1765",San Francisco
n1205120785,"1205120785",node,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Super Save,,,,,,,,,,,,
